Category,Krabi
0:00,81
0:15,80.88
0:30,80.51
0:45,80.34
1:00,76.26
1:15,75.73
1:30,76.02
1:45,76.06
2:00,76.01
2:15,75.04
2:30,75.71
2:45,76.39
3:00,76.38
3:15,76.48
3:30,76.93
3:45,76.04
4:00,76.04
4:15,76.28
4:30,76.22
4:45,76.54
5:00,77.03
5:15,77.47
5:30,77.16
5:45,78.22
6:00,78.22
6:15,78.4
6:30,78.67
6:45,78.57
7:00,78.28
7:15,78.04
7:30,77.9
7:45,78.11
8:00,78.29
8:15,78.5
8:30,82.31
8:45,82.05
9:00,81.25
9:15,83.81
9:30,82
9:45,73.86
10:00,74.07
10:15,76.91
10:30,77.29
10:45,79.33
11:00,79.44
11:15,80.74
11:30,78.29
11:45,78.48
12:00,79.2
12:15,78.85
12:30,79.67
12:45,80.27
13:00,79.22
13:15,80.09
13:30,80.12
13:45,78.88
14:00,78.44
14:15,78.76
14:30,84.32
14:45,84.66
15:00,83.12
15:15,83.06
15:30,86.13
15:45,84.36
16:00,84.49
16:15,84.16
16:30,84.43
16:45,84.47
17:00,85.3
17:15,85.31
17:30,85.05
17:45,84.63
18:00,84.51
18:15,84.86
18:30,84.31
18:45,85.2
19:00,90.25
19:15,91.35
19:30,90.38
19:45,90.07
20:00,89.85
20:15,89.86
20:30,90.36
20:45,90.29
21:00,90.28
21:15,90.36
21:30,89.46
21:45,89.13
22:00,93.95
22:15,95.92
22:30,91.25
22:45,90.89
23:00,90.49
23:15,89.64
23:30,85.35
23:45,84.93
