Category,Phuket
0:00,284.85
0:15,273.46
0:30,271.04
0:45,268.71
1:00,264.76
1:15,263.82
1:30,255.82
1:45,253.25
2:00,252.82
2:15,248.17
2:30,247.6
2:45,245.09
3:00,243.09
3:15,243.47
3:30,240.94
3:45,239.79
4:00,235.7
4:15,236.66
4:30,235.79
4:45,234.7
5:00,233.56
5:15,236.63
5:30,237.27
5:45,240.53
6:00,241.38
6:15,242.6
6:30,244.36
6:45,230.36
7:00,236.6
7:15,233.01
7:30,234.63
7:45,235.38
8:00,242.22
8:15,251.39
8:30,253.17
8:45,261.29
9:00,263.38
9:15,269.42
9:30,273.39
9:45,282.41
10:00,295.87
10:15,299.66
10:30,304.17
10:45,304.86
11:00,299.7
11:15,296.03
11:30,293.96
11:45,291.35
12:00,287.22
12:15,279.62
12:30,277.27
12:45,275.42
13:00,274.5
13:15,277.32
13:30,280.37
13:45,281.39
14:00,286.58
14:15,286.15
14:30,288.69
14:45,289.68
15:00,288.11
15:15,290.85
15:30,288.95
15:45,290.82
16:00,287.82
16:15,286.3
16:30,285.1
16:45,283.66
17:00,281.47
17:15,278.34
17:30,276.58
17:45,277.12
18:00,277.61
18:15,277.74
18:30,281.51
18:45,290.13
19:00,296.71
19:15,299.67
19:30,298.54
19:45,297.21
20:00,298.58
20:15,297.1
20:30,294.98
20:45,291.63
21:00,289.98
21:15,287.31
21:30,284.8
21:45,281.9
22:00,276.61
22:15,273.02
22:30,271.27
22:45,267.42
23:00,263.73
23:15,257.52
23:30,256.56
23:45,253.75
